;AAPL;AMZN;GOOGL
01/06/2020;78.21511840820312;123.552001953125;71.3157958984375
02/06/2020;78.57720184326172;123.62049865722656;71.68557739257812
03/06/2020;79.00977325439453;123.91999816894531;71.53348541259766
04/06/2020;78.32933044433594;123.02999877929688;70.2934341430664
05/06/2020;80.56021881103516;124.1500015258789;71.57176208496094
08/06/2020;81.03653717041016;126.2030029296875;71.97037506103516
09/06/2020;83.59551239013672;130.04299926757812;72.1711654663086
10/06/2020;85.74623107910156;132.37249755859375;72.79840087890625
11/06/2020;81.62950897216797;127.89800262451172;69.6771240234375
12/06/2020;82.33424377441406;127.2509994506836;70.22483825683594
15/06/2020;83.35247802734375;128.63400268554688;70.61351013183594
16/06/2020;85.56151580810547;130.7635040283203;71.892333984375
17/06/2020;85.44245147705078;132.0489959716797;72.19402313232422
18/06/2020;85.47648620605469;132.69900512695312;71.27852630615234
19/06/2020;84.98799133300781;133.75050354003906;70.8073501586914
22/06/2020;87.21161651611328;135.6909942626953;72.10057830810547
23/06/2020;89.0731201171875;138.2205047607422;72.76261901855469
24/06/2020;87.50078582763672;136.72000122070312;71.20793914794922
25/06/2020;88.66241455078125;137.72900390625;71.62544250488281
26/06/2020;85.93817901611328;134.64349365234375;67.72085571289062
29/06/2020;87.91881561279297;134.0189971923828;69.44202423095703
30/06/2020;88.6526870727539;137.9409942626953;70.47980499267578
01/07/2020;88.48501586914062;143.93499755859375;71.670166015625
02/07/2020;88.48501586914062;144.51499938964844;73.058349609375
06/07/2020;90.85199737548828;152.8520050048828;74.53547668457031
07/07/2020;90.57011413574219;150.00599670410156;74.05188751220703
08/07/2020;92.67948913574219;154.0554962158203;74.73180389404297
09/07/2020;93.07803344726562;159.13150024414062;75.48030853271484
10/07/2020;93.24087524414062;160.0;76.49176025390625
13/07/2020;92.81073760986328;155.1999969482422;75.16073608398438
14/07/2020;94.34659576416016;154.1999969482422;75.58966064453125
15/07/2020;94.99544525146484;150.44349670410156;75.39185333251953
16/07/2020;93.82654571533203;149.9949951171875;75.29443359375
17/07/2020;93.6369857788086;148.09849548339844;75.3903579711914
20/07/2020;95.61027526855469;159.8419952392578;77.7258529663086
21/07/2020;94.29070281982422;156.9145050048828;77.33221435546875
22/07/2020;94.55560302734375;154.99549865722656;77.77604675292969
23/07/2020;90.25176239013672;149.32749938964844;75.3853988647461
24/07/2020;90.0281753540039;150.44549560546875;74.96092987060547
27/07/2020;92.1618881225586;152.760498046875;76.01560974121094
28/07/2020;90.64788818359375;150.01649475097656;74.73429870605469
29/07/2020;92.38545227050781;151.67649841308594;75.72136688232422
30/07/2020;93.50331115722656;152.593994140625;76.4599380493164
31/07/2020;103.29206085205078;158.23399353027344;73.95397186279297
03/08/2020;105.89476013183594;155.59449768066406;73.69601440429688
04/08/2020;106.60197448730469;156.94149780273438;73.22583770751953
05/08/2020;106.98834228515625;160.25149536132812;73.51361083984375
06/08/2020;110.7210922241211;161.25;74.79890441894531
07/08/2020;108.20377349853516;158.3730010986328;74.47187805175781
10/08/2020;109.7764892578125;157.4080047607422;74.39482879638672
11/08/2020;106.51174926757812;154.0334930419922;73.58568572998047
12/08/2020;110.05158233642578;158.11199951171875;74.91272735595703
13/08/2020;111.99923706054688;158.05099487304688;75.38040924072266
14/08/2020;111.89942932128906;157.4010009765625;74.78299713134766
17/08/2020;111.60728454589844;159.12049865722656;75.36004638671875
18/08/2020;112.53727722167969;165.62449645996094;77.32525634765625
19/08/2020;112.67847442626953;163.0240020751953;76.77008056640625
20/08/2020;115.17876434326172;164.86849975585938;78.3426513671875
21/08/2020;121.11420440673828;164.23599243164062;78.30885314941406
24/08/2020;122.56277465820312;165.3730010986328;78.78500366210938
25/08/2020;121.55730438232422;167.32449340820312;79.8138198852539
26/08/2020;123.21035766601562;172.09249877929688;81.71641540527344
27/08/2020;121.7374496459961;170.0;80.9405746459961
28/08/2020;121.54025268554688;170.08999633789062;81.48281860351562
31/08/2020;125.66195678710938;172.54800415039062;80.99077606201172
01/09/2020;130.6674041748047;174.95599365234375;82.26065826416016
02/09/2020;127.96017456054688;176.57249450683594;85.35757446289062
03/09/2020;117.715576171875;168.39999389648438;80.98978424072266
04/09/2020;117.79346466064453;164.7310028076172;78.58917999267578
08/09/2020;109.8665771484375;157.49200439453125;75.72584533691406
09/09/2020;114.24877166748047;163.4304962158203;76.90031433105469
10/09/2020;110.5190200805664;158.7554931640625;75.84761047363281
11/09/2020;109.06803131103516;155.81100463867188;75.336181640625
14/09/2020;112.3400650024414;155.14849853515625;74.99174499511719
15/09/2020;112.51536560058594;157.80650329589844;76.29841613769531
16/09/2020;109.19462585449219;153.90499877929688;75.15377044677734
17/09/2020;107.45147705078125;150.43649291992188;73.90874481201172
18/09/2020;104.0431137084961;147.74549865722656;72.12196350097656
21/09/2020;107.19830322265625;148.02349853515625;71.08070373535156
22/09/2020;108.88299560546875;156.44949340820312;72.55586242675781
23/09/2020;104.31578063964844;149.9929962158203;70.04938507080078
24/09/2020;105.38697814941406;150.989501953125;70.7188720703125
25/09/2020;109.3406982421875;154.75650024414062;71.5240478515625
28/09/2020;111.9505386352539;158.70249938964844;72.49819946289062
29/09/2020;111.10331726074219;157.24400329589844;72.864013671875
30/09/2020;112.77827453613281;157.43649291992188;72.84313201904297
01/10/2020;113.7326431274414;161.06300354003906;73.95148468017578
02/10/2020;110.06132507324219;156.25;72.34611511230469
05/10/2020;113.45022583007812;159.9600067138672;73.69950866699219
06/10/2020;110.19767761230469;154.9980010986328;72.11847686767578
